Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
search_with_filter/11,3.7354448378974794e-2,3.540051915598901e-2,3.8590661070775786e-2,3.6563099426672237e-3,2.0100461525579694e-3,5.834818640044648e-3
search_with_filter/13,4.243373010326465e-2,4.000648330364128e-2,4.364928988890777e-2,3.7599202365590097e-3,2.2666641166494508e-3,5.478357720520023e-3
search_with_filter/15,5.2155249082866936e-2,5.076834085254818e-2,5.583405066738103e-2,4.481233476166616e-3,2.198093376001995e-3,6.957432747603073e-3
search_with_filter/17,5.48077306927933e-2,5.253306757249739e-2,5.6114902322223034e-2,3.4394455382301876e-3,1.5179970328035146e-3,4.678087703786967e-3
search_with_filter/19,6.03791317203191e-2,5.680658010657751e-2,6.194357834335957e-2,4.743347285434368e-3,1.3808764534554117e-3,8.706656501402303e-3
search_with_startup/1,6.412212497052487e-2,6.146214722805844e-2,6.588087979244699e-2,4.341919697813529e-3,2.5132525562107004e-3,5.895034013068536e-3
search_with_startup/2,7.83022121438101e-2,7.392262380093004e-2,8.048823699352746e-2,5.300430315227122e-3,3.2000773344043713e-3,7.776625209497993e-3
search_with_startup/3,9.349556640621376e-2,8.971679264062805e-2,9.568532628721867e-2,5.238758095703795e-3,3.1095090053887718e-3,7.0802015866992096e-3
search_with_startup/4,0.10910515632300039,0.10644069762999836,0.11135889054488386,4.46981104568173e-3,3.4692574640410754e-3,6.108490430817281e-3
search_with_startup/5,0.12924999254117364,0.12435035488118293,0.14335615516037525,1.2511524822236633e-2,4.992464421931412e-3,2.207969591880443e-2
search_with_startup/6,0.13914881686298758,0.13590989029102074,0.14173883368735446,4.74529029761489e-3,2.882049960077111e-3,7.325867665736771e-3
search_with_startup/7,0.15321692044825017,0.15041699061258432,0.15585411798545895,4.586897205510429e-3,3.6069973978255956e-3,6.546851766358458e-3
search_with_startup/8,0.1685609966944207,0.16638311541565642,0.1715200552522654,3.9003740298879366e-3,2.723051185073697e-3,5.1693337007435395e-3
search_with_startup/9,0.18251063255607083,0.17947328208963537,0.18695577212380593,5.696842598826289e-3,3.7321382936266953e-3,8.453920949662687e-3
search_with_startup/11,0.21110964394790302,0.20583400988739978,0.21655026676527764,8.041886641202837e-3,5.449699543405033e-3,1.2436490665965272e-2
search_with_startup/13,0.2430162028521952,0.2381674714395452,0.2456904619168526,4.922775635128983e-3,3.103075044640436e-3,6.901875853923373e-3
search_with_startup/15,0.2746943836398171,0.27177728353517727,0.27664688559480494,3.605845826654204e-3,2.5372554561297897e-3,4.91021807629362e-3
search_with_startup/17,0.300851888264143,0.29783768821580453,0.3025555406199419,2.8314383680772028e-3,1.2059865148309602e-3,4.089438368939675e-3
search_with_startup/19,0.3273707957320123,0.32373824554459135,0.33086058885514613,5.018340354551093e-3,3.3718876657284113e-3,6.791113933952845e-3
