length , start  , read   , filter , measure , tagging , sort   , end
13, 526, 1312, 1509, 1702, 1898, 2089, 2287
14, 451, 810, 1005, 1200, 1399, 1583, 1784
1, 4000, 6799, 8601, 10190, 11862, 13481, 15237
2, 4056, 5857, 6071, 6282, 6496, 6713, 6918
3, 1201, 3075, 3416, 3679, 7603, 8229, 8696
4, 785, 1451, 1763, 2011, 2261, 2499, 2752
5, 878, 2436, 2648, 2859, 3066, 3303, 3520
6, 940, 1709, 2011, 2231, 2526, 2746, 2973
7, 383, 759, 1187, 1430, 1692, 1971, 2240
8, 377, 768, 1014, 1255, 1532, 1779, 2007
9, 583, 2303, 2515, 2717, 2918, 3395, 3596
10, 703, 1333, 1638, 1871, 2093, 2292, 2489
11, 359, 799, 1049, 1312, 1539, 1769, 2019
12, 368, 701, 951, 1199, 1436, 1681, 1906
13, 649, 1470, 1768, 1980, 2185, 2414, 2651
14, 534, 1249, 1498, 1747, 2043, 2279, 2508
15, 41743, 42606, 42962, 43213, 43522, 43793, 44005
16, 388, 735, 950, 1199, 1408, 1632, 1863
17, 427, 735, 952, 1184, 1421, 1627, 1840
18, 526, 1368, 1556, 1745, 1929, 2111, 2301
19, 339, 739, 949, 1153, 14132, 14323, 14526
20, 564, 1199, 1394, 1590, 1785, 1978, 2180
21, 457, 769, 957, 1148, 1332, 1519, 1719
22, 226, 442, 633, 821, 1007, 1201, 1379
23, 226, 446, 638, 822, 1000, 1195, 1369
24, 211, 484, 669, 853, 1038, 1233, 1410
1, 3283, 5750, 7041, 8244, 9482, 10621, 11815
2, 1095, 1803, 2113, 2440, 2661, 2936, 3154
3, 556, 1168, 1360, 1548, 1735, 1925, 2125
4, 368, 881, 1129, 1369, 1630, 1845, 2042
5, 548, 1109, 1303, 1493, 2735, 2932, 3132
6, 514, 1128, 1320, 1507, 1742, 1940, 2140
7, 664, 1781, 1997, 2201, 2389, 2577, 2773
8, 831, 1879, 3147, 3336, 3522, 3699, 3889
9, 293, 573, 768, 975, 1177, 1384, 1626
10, 264, 863, 1055, 1246, 1426, 1605, 1778
1, 2788, 5474, 7048, 55593, 57393, 58798, 60084
2, 5824, 8316, 9679, 11090, 12590, 13815, 14984
3, 1070, 3015, 3437, 3755, 4064, 4358, 4666
4, 536, 1107, 1302, 1494, 1682, 1869, 2066
5, 831, 2869, 3059, 3257, 3446, 3896, 4101
6, 531, 1024, 1217, 1402, 1583, 1770, 1969
7, 541, 1148, 1462, 1715, 1980, 2209, 2429
8, 380, 722, 969, 1193, 1409, 1634, 1850
9, 279, 523, 783, 1033, 1456, 1697, 1951
10, 443, 820, 1038, 1228, 1432, 1620, 1797
11, 564, 1060, 1243, 1451, 1631, 1834, 2012
12, 574, 2347, 2775, 2943, 3111, 3349, 3511
13, 622, 1769, 1947, 2122, 2294, 2477, 2648
14, 455, 773, 961, 1149, 1333, 1512, 1706
15, 494, 867, 1150, 1402, 1632, 1868, 2138
16, 704, 1238, 1469, 1682, 1937, 2167, 2384
17, 383, 919, 1168, 1416, 1628, 1850, 2090
18, 378, 768, 1003, 1261, 1575, 1813, 2060
19, 383, 810, 1197, 1454, 1702, 1933, 2188
